Transaction_ID,Customer_ID,Transaction_Date,Product,Category,Quantity,Unit_Price,Discount,Sales,Payment_Method,Returned,Revenue,Signup_Date,Country,Acquisition_Channel,Plan
T00001,C0632,2025-09-09,Monitor,Electronics,2,364.31,0.0,728.61,Debit Card,No,728.62,2025-06-07,USA,Email,Standard
T05151,C0632,2025-11-11,Monitor,Electronics,3,274.14,0.0,822.42,Credit Card,No,822.42,2025-06-07,USA,Email,Standard
T05872,C0632,2025-06-16,Keyboard,Electronics,1,129.93,0.05,123.43,Debit Card,Yes,123.4335,2025-06-07,USA,Email,Standard
T08542,C0632,2025-12-31,Mouse,Electronics,1,38.47,0.0,38.47,Debit Card,No,38.47,2025-06-07,USA,Email,Standard
T09847,C0632,2025-06-13,Mouse,Electronics,1,54.3,0.05,51.59,Debit Card,No,51.584999999999994,2025-06-07,USA,Email,Standard
T00002,C0347,2025-03-11,Speaker,Electronics,1,281.19,0.0,281.19,Credit Card,No,281.19,2024-12-06,Australia,Organic,Basic
T00642,C0347,2025-12-31,Headphones,Electronics,1,88.15,0.0,88.15,PayPal,No,88.15,2024-12-06,Australia,Organic,Basic
T00727,C0347,2025-02-19,Phone,Electronics,1,553.8,0.0,553.8,Mobile Payment,No,553.8,2024-12-06,Australia,Organic,Basic
T00923,C0347,2025-12-31,Mouse,Electronics,1,85.76,0.0,85.76,Credit Card,No,85.76,2024-12-06,Australia,Organic,Basic
T02268,C0347,2025-12-31,Monitor,Electronics,4,189.84,0.0,759.35,Mobile Payment,No,759.36,2024-12-06,Australia,Organic,Basic
T02805,C0347,2025-12-31,Tablet,Electronics,1,285.43,0.0,285.43,PayPal,No,285.43,2024-12-06,Australia,Organic,Basic
T03332,C0347,2025-10-29,Headphones,Electronics,1,209.41,0.05,198.94,Debit Card,No,198.93949999999998,2024-12-06,Australia,Organic,Basic
T06497,C0347,2025-12-16,Speaker,Electronics,3,181.4,0.1,489.78,Credit Card,No,489.78000000000003,2024-12-06,Australia,Organic,Basic
T07208,C0347,2025-05-06,Monitor,Electronics,2,569.91,0.1,1025.84,Credit Card,No,1025.838,2024-12-06,Australia,Organic,Basic
T07313,C0347,2025-12-31,Laptop,Electronics,2,900.28,0.0,1800.56,Mobile Payment,No,1800.56,2024-12-06,Australia,Organic,Basic
T07883,C0347,2025-04-05,Tablet,Electronics,1,220.49,0.0,220.49,Debit Card,No,220.49,2024-12-06,Australia,Organic,Basic
T09114,C0347,2025-12-31,Keyboard,Electronics,1,128.93,0.1,116.04,Mobile Payment,No,116.037,2024-12-06,Australia,Organic,Basic
T00003,C0809,2024-12-26,Speaker,Electronics,3,92.63,0.0,277.88,PayPal,No,277.89,2024-08-03,Germany,Google Ads,Basic
T00159,C0809,2025-05-20,Smartwatch,Electronics,1,236.37,0.1,212.74,Mobile Payment,No,212.733,2024-08-03,Germany,Google Ads,Basic
T00405,C0809,2025-06-06,Headphones,Electronics,1,195.69,0.05,185.91,Debit Card,No,185.9055,2024-08-03,Germany,Google Ads,Basic
T01116,C0809,2025-01-22,Tablet,Electronics,1,255.8,0.0,255.8,PayPal,No,255.8,2024-08-03,Germany,Google Ads,Basic
T01761,C0809,2025-03-30,Mouse,Electronics,2,79.24,0.0,158.48,Mobile Payment,No,158.48,2024-08-03,Germany,Google Ads,Basic
T02274,C0809,2024-11-27,Headphones,Electronics,1,67.91,0.0,67.91,PayPal,No,67.91,2024-08-03,Germany,Google Ads,Basic
T02346,C0809,2024-08-12,Speaker,Electronics,2,161.88,0.05,307.56,Credit Card,No,307.572,2024-08-03,Germany,Google Ads,Basic
T02849,C0809,2025-07-23,Keyboard,Electronics,2,151.95,0.0,303.9,PayPal,No,303.9,2024-08-03,Germany,Google Ads,Basic
T02854,C0809,2025-01-29,Mouse,Electronics,1,41.53,0.05,39.45,PayPal,No,39.4535,2024-08-03,Germany,Google Ads,Basic
T02994,C0809,2025-12-13,Keyboard,Electronics,1,164.99,0.05,156.74,Credit Card,No,156.7405,2024-08-03,Germany,Google Ads,Basic
T03528,C0809,2025-12-10,Tablet,Electronics,1,648.83,0.0,648.83,Debit Card,No,648.83,2024-08-03,Germany,Google Ads,Basic
T05310,C0809,2024-10-08,Mouse,Electronics,1,35.66,0.0,35.66,PayPal,No,35.66,2024-08-03,Germany,Google Ads,Basic
T05519,C0809,2024-12-07,Phone,Electronics,2,524.35,0.15,891.4,Credit Card,No,891.395,2024-08-03,Germany,Google Ads,Basic
T05636,C0809,2025-02-22,Laptop,Electronics,1,1069.57,0.0,1069.57,Mobile Payment,No,1069.57,2024-08-03,Germany,Google Ads,Basic
T05807,C0809,2024-09-20,Phone,Electronics,1,496.87,0.0,496.87,Debit Card,No,496.87,2024-08-03,Germany,Google Ads,Basic
T06120,C0809,2025-02-19,Tablet,Electronics,1,467.17,0.15,397.09,Debit Card,No,397.0945,2024-08-03,Germany,Google Ads,Basic
T06134,C0809,2025-05-24,Mouse,Electronics,1,95.19,0.0,95.19,Mobile Payment,No,95.19,2024-08-03,Germany,Google Ads,Basic
T06469,C0809,2025-08-04,Mouse,Electronics,1,94.05,0.0,94.05,Credit Card,No,94.05,2024-08-03,Germany,Google Ads,Basic
T07153,C0809,2024-12-26,Mouse,Electronics,2,47.45,0.0,94.9,Credit Card,No,94.9,2024-08-03,Germany,Google Ads,Basic
T07562,C0809,2025-02-02,Camera,Electronics,2,380.25,0.1,684.45,Mobile Payment,No,684.45,2024-08-03,Germany,Google Ads,Basic
T07837,C0809,2025-08-08,Camera,Electronics,2,630.77,0.15,1072.3,Debit Card,No,1072.309,2024-08-03,Germany,Google Ads,Basic
T08014,C0809,2025-07-20,Headphones,Electronics,1,96.7,0.0,96.7,PayPal,No,96.7,2024-08-03,Germany,Google Ads,Basic
T08036,C0809,2025-12-07,Mouse,Electronics,1,21.93,0.0,21.93,PayPal,No,21.93,2024-08-03,Germany,Google Ads,Basic
T08481,C0809,2025-03-25,Headphones,Electronics,1,132.08,0.1,118.87,Mobile Payment,No,118.87200000000001,2024-08-03,Germany,Google Ads,Basic
T08979,C0809,2024-09-05,Keyboard,Electronics,2,87.84,0.0,175.68,Debit Card,No,175.68,2024-08-03,Germany,Google Ads,Basic
T09312,C0809,2024-09-14,Phone,Electronics,3,531.32,0.0,1593.95,PayPal,No,1593.96,2024-08-03,Germany,Google Ads,Basic
T09427,C0809,2025-07-14,Smartwatch,Electronics,2,328.61,0.0,657.22,PayPal,No,657.22,2024-08-03,Germany,Google Ads,Basic
