Customer_ID,Signup_Date,Country,Acquisition_Channel,Plan
C0001,2024-04-12,Canada,Referral,Basic
C0002,2025-03-11,Thailand,Social Media,Basic
C0003,2024-09-27,Canada,Referral,Basic
C0004,2024-04-16,India,Social Media,Basic
C0005,2024-03-12,Germany,Email,Standard
C0006,2024-01-21,USA,Google Ads,Standard
C0007,2024-05-01,UK,Google Ads,Standard
C0008,2025-04-11,UK,Organic,Standard
C0009,2024-08-02,India,Google Ads,Premium
C0010,2024-11-26,Thailand,Social Media,Basic
C0011,2025-04-03,Thailand,Organic,Basic
C0012,2024-03-28,USA,Social Media,Basic
C0013,2025-01-07,India,Google Ads,Standard
C0014,2024-04-09,Thailand,Referral,Premium
C0015,2024-05-10,India,Organic,Basic
C0016,2024-11-04,Canada,Email,Premium
C0017,2024-12-09,Thailand,Google Ads,Premium
C0018,2025-05-06,India,Email,Basic
C0019,2025-02-17,USA,Social Media,Basic
C0020,2025-01-20,Germany,Social Media,Basic
C0021,2024-07-10,Thailand,Organic,Premium
C0022,2024-10-03,India,Google Ads,Basic
C0023,2024-06-09,Australia,Google Ads,Standard
C0024,2025-04-04,Canada,Email,Basic
C0025,2024-11-09,,Referral,Standard
C0026,2024-01-22,UK,Social Media,Standard
C0027,2024-09-09,India,Social Media,Standard
C0028,2025-04-19,Germany,Social Media,Premium
C0029,2024-02-28,UK,Google Ads,Premium
C0030,2025-05-25,Thailand,Referral,Premium
C0031,2025-04-20,Canada,Social Media,Basic
C0032,2024-07-08,India,Social Media,Standard
C0033,2024-08-31,India,Social Media,Basic
C0034,2025-05-19,Thailand,Email,Basic
C0035,2024-05-10,India,Social Media,Standard
C0036,2025-04-29,USA,Organic,Basic
C0037,2024-01-21,India,Email,Standard
C0038,2024-06-15,Thailand,Email,Premium
C0039,2024-09-30,India,Referral,Basic
C0040,2025-01-22,Canada,email,Standard
C0041,2024-11-11,Thailand,Social Media,Basic
C0042,2024-01-14,Canada,Social Media,Basic
C0043,2024-08-29,USA,Google Ads,Basic
C0044,2024-12-11,Germany,Referral,Premium
C0045,2024-12-05,Australia,Google Ads,Premium
C0046,2024-04-01,UK,Email,Premium
C0047,2025-01-01,India,Organic,Premium
C0048,2025-03-30,Germany,Social Media,Basic
C0049,2025-03-03,USA,Social Media,Basic
C0050,2025-05-23,USA,Email,Standard
C0051,2024-02-04,India,Organic,Standard
C0052,2024-07-24,Australia,Social Media,Basic
C0053,2024-03-21,Australia,Organic,Basic
C0054,2025-01-22,Australia,Social Media,Standard
C0055,2024-01-02,USA,Referral,Standard
C0056,2025-01-24,Australia,Email,Basic
C0057,2024-04-15,Thailand,Organic,Standard
C0058,2025-04-21,UK,Social Media,Standard
C0059,2025-02-05,Thailand,Social Media,Standard
C0060,2024-06-10,USA,Google Ads,Basic
C0061,2024-07-20,USA,Referral,Standard
C0062,2024-09-26,USA,Organic,Basic
C0063,2024-09-27,India,Google Ads,Basic
C0064,2025-03-31,USA,Social Media,Standard
C0065,2025-04-06,USA,Social Media,Standard
C0066,2024-09-08,Thailand,Organic,Basic
C0067,2024-10-22,USA,Social Media,Standard
C0068,2024-12-03,Thailand,Google Ads,Standard
C0069,2024-02-22,Thailand,Email,Standard
C0070,2024-08-04,India,Organic,Standard
C0071,2024-07-06,India,Social Media,Standard
C0072,2025-01-14,India,Organic,Standard
